run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,sample,stage,points,assigned_points,assigned_ratio,mapped_accuracy,macro_precision,macro_recall,macro_iou,classes_scored
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07904035707643667,0.11122661075961186,0.27404056718054287,0.09248462355322908,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13755274261603376,0.1943357586074704,0.2680786282323311,0.1368496628685117,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.116171875,0.11808715281346409,0.26966697582982746,0.09478592729769474,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.173072416217483,0.17570299788049612,0.2784345041882186,0.1335468399205406,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.6432189082723692,0.2081740608288931,0.26572232248552474,0.16400250290791243,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.852219465122691,0.2868148660453897,0.24958237508574402,0.20290145184302033,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.6048664374504099,0.1691240918063345,0.27597361371886814,0.15153952313185368,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.7064709081022295,0.2520601781904673,0.28693752784198284,0.20340504080203742,13
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.3757570729279018,0.17204376520023812,0.3101659032326363,0.1349373105903903,12
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.5704499664204163,0.2834792673292349,0.2781061729765855,0.20142288957369595,12
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07157445228369848,0.12786088515173893,0.2553531085427112,0.11531789699381206,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13408860331416977,0.1577114492784859,0.24618150155274107,0.1325976973867076,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_001,box,34720,12877,0.37088133640552995,0.2308888716074345,0.17880085335930065,0.23246601678936119,0.09908085516096182,12
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_001,sam,34720,8612,0.24804147465437787,0.335658644343681,0.3064976652578495,0.2175987830402744,0.11915103614400809,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_002,box,34720,5361,0.15440668202764976,0.036350009368559116,0.14071556207762656,0.10844713597333157,0.06834640878998721,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_002,sam,34720,3655,0.10527073732718895,0.044866501513900356,0.1949291116532013,0.10555790460119631,0.07147629644148079,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_003,box,34688,11349,0.3271736623616236,0.19659851956291857,0.15614749976344644,0.23576370864497592,0.1051823421173555,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_003,sam,34688,9200,0.26522140221402213,0.3126086956521739,0.22565007449390417,0.22010076834198142,0.14750922249644235,13
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_004,box,34752,12055,0.3468865101289134,0.3410769103127852,0.16417278655138706,0.294294505310514,0.12746160886935468,12
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sample_004,sam,34752,7446,0.2142610497237569,0.4889187374076561,0.22919522867166886,0.2626902594045992,0.16124817071921482,12
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_000,box,34688,10786,0.31094326568265684,0.07157445228369848,0.12504331632744153,0.2553531085427112,0.11316653270140094,13
ovsam3d_ablation_hybrid_clip030_merge_person_nuscenes_mini,hybrid,True,0.3,0.06,True,sample_000,sam,34688,5934,0.17106780442804428,0.13381707728653391,0.1441045267601348,0.24618150155274107,0.12436332202192267,13
